Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2025,8,NALGONDA,NALGONDA ,PARVATHAGIRI  SECTOR,2312092,Dorepally-I,26,4,0,30,0,0,23,5,2
2025,8,RANGAREDDY,SHADNAGAR,Kothur,1418111,Siddapur II,56,21,6,73,10,0,57,16,10
2025,8,RANGAREDDY,SHADNAGAR,Kothur,1418125,Inmulnarva IV,150,6,0,152,3,1,145,9,2
2025,8,RANGAREDDY,SHADNAGAR,Kothapet,1418176,Kothapet II,71,5,0,73,3,0,58,12,6
2025,8,KAMAREDDY,KAMAREDDY,RAMAREDDY,1806104,Ramareddy-1,70,5,0,75,0,0,66,9,0
2025,8,KAMAREDDY,KAMAREDDY,RAMAREDDY,1806107,Ramareddy-4,47,10,3,59,1,0,47,8,5
2025,8,JOGULAMBA-GADWAL,MALDAKAL,Uppala,1405308,Kistapur,67,15,1,82,1,0,19,30,34
2025,8,NAGARKURNOOL,BALMOOR,Uppununthala,1420015,Kamsanipally-II,17,8,0,25,0,0,13,7,5
2025,8,VIKARABAD,MARPALLY,kotpally,1506051,Barwad - I,27,9,0,30,6,0,29,7,0
2025,8,VIKARABAD,MARPALLY,kotpally,1506116,Ennaram - II,46,6,0,51,1,0,35,17,0
2025,8,KHAMMAM,KHAMMAM (U),Jublipura,2205032,Ramannapeta - I,84,6,1,90,1,0,64,15,12
2025,8,JOGULAMBA-GADWAL,MALDAKAL,Induvasi,1405175,Anthampally,59,13,3,74,1,0,19,25,31
2025,8,KHAMMAM,KHAMMAM (U),Burhanpuram,2206036,Burhanpuram,99,0,0,98,1,0,92,7,0
2025,8,KHAMMAM,KHAMMAM (U),Burhanpuram,2206253,Sarithaclinic-3,58,7,0,64,1,0,44,16,5
2025,8,VIKARABAD,MARPALLY,siripuram,1506069,Kotmarpally - I,36,9,0,44,1,0,29,15,1
2025,8,JOGULAMBA-GADWAL,MALDAKAL,Aiza,1405057,OLDBUS STAND,91,2,2,94,1,0,75,14,6
2025,8,SURYAPET,HUZURNAGAR,Lingagiri,2305022,Burugadda - I,60,1,0,60,1,0,55,6,0
2025,8,SURYAPET,HUZURNAGAR,Lingagiri,2305040,Vepalasingaram-2,33,1,1,32,3,0,33,2,0
2025,8,KHAMMAM,KHAMMAM (U),Gopalpuram,2206185,Kaviraj Nagar - I,61,0,0,60,1,0,61,0,0
2025,8,SURYAPET,HUZURNAGAR,Palakeedu,2305189,Ravipahad,34,1,0,35,0,0,33,2,0
2025,8,RANGAREDDY,MAHESHWARAM,Tukkuguda,1505047,Thukkuguda I,111,11,1,121,2,0,104,2,17
2025,8,RANGAREDDY,MAHESHWARAM,Narkuda,1509110,Ramanjapurtanda,27,1,0,28,0,0,27,1,0
2025,8,MEDAK,NARSAPUR,Railapur,1705063,Kanchanpally-I,56,3,0,56,3,0,59,0,0
